seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.340883,1.205974,0,1.9346,3.1919,2.3283,0.7154,-0.3937,1.2192
42,0.285989,0.894415,0,1.6405,1.0436,0.5229,2.6438,1.1176,-1.0033
42,0.327903,1.647645,0,0.0792,0.7209,0.8606,0.0478,-0.7814,0.0314
42,0.587707,1.952595,0,0.3693,0.636,0.7884,0.1788,-0.4191,0.1905
42,0.459801,2.246963,0,0.4212,1.7166,0.3958,0.0656,0.0254,0.3556
42,0.549997,0.973485,0,0.3688,0.1529,0.1529,0.1402,0.2159,0.2286
42,1.905671,0.970299,1,3.1822,1.5041,2.3821,4.7316,0.8001,-1.5494
42,0.433227,0.56351,0,2.2312,1.7613,1.4184,3.0186,0.8128,-0.7874
42,0.298426,0.702573,0,0.2819,0.4293,0.5105,0.2438,-0.2286,0.0381
42,0.275119,1.260575,0,0.879,0.879,0.7012,1.1203,0.1778,-0.2413
42,0.406258,0.849344,0,1.4599,0.5963,1.0027,2.1838,0.4572,-0.7239
42,0.275172,0.66502,0,1.2772,1.3788,0.2595,1.6074,1.0177,-0.3302
42,0.513332,2.334563,0,1.7631,1.1662,1.5853,2.0933,0.1778,-0.3302
42,0.995858,0.505307,1,1.0759,0.5298,1.5204,0.3266,-0.4445,0.7493
42,0.442781,1.595537,0,0.3141,0.7781,0.6257,0.1871,-0.3116,0.127
42,0.833237,0.32427,1,1.0779,1.0906,1.6367,0.3413,-0.5588,0.7366
42,0.37609,1.508257,0,1.5331,0.7838,0.7457,1.5966,0.7874,-0.0635
42,2.136458,0.459738,1,0.6413,3.6131,0.019,0.5651,0.6223,0.0762
42,0.383896,1.276083,0,1.0553,0.1155,0.3441,1.1442,0.7112,-0.0889
42,0.462408,0.485052,0,1.8426,1.106,0.6742,2.2236,1.1684,-0.381
42,1.628358,0.492895,1,5.0033,0.2535,6.3241,8.3307,-1.3208,-3.3274
42,0.737086,0.429851,1,0.5549,0.3849,0.0166,0.0469,0.5383,0.508
42,0.914149,0.497055,1,1.4711,0.3154,1.1536,1.9537,0.3175,-0.4826
42,0.3692,2.288575,0,0.058,1.339,0.6151,0.1723,-0.5571,-0.1143
42,0.703667,0.685156,1,1.7978,2.1153,1.3406,1.8867,0.4572,-0.0889
42,0.975423,0.881164,1,2.0145,2.332,1.1382,2.9543,0.8763,-0.9398
42,1.195104,0.811924,1,1.4314,0.7964,1.2663,0.7202,0.1651,0.7112
42,0.180381,0.893539,0,1.1436,0.8134,2.0961,2.4644,-0.9525,-1.3208
42,0.433051,0.630053,0,1.617,1.0074,1.4265,1.2995,0.1905,0.3175
42,0.611325,1.225835,0,0.2732,0.2986,0.3748,0.1459,-0.1016,0.1273
42,1.887289,0.664787,1,2.0078,1.9443,3.1762,2.3253,-1.1684,-0.3175
42,0.592273,1.586239,0,0.17,1.3257,1.3638,0.0557,-1.1938,0.1143
42,0.394403,0.72532,0,0.3152,0.7978,1.7757,2.2583,-1.4605,-1.9431
42,0.319627,0.262379,1,1.7883,1.0009,0.2389,1.674,1.5494,0.1143
42,0.479074,0.422784,1,2.1025,1.9374,0.5531,1.6707,1.5494,0.4318
42,0.314391,1.799946,0,1.6299,0.7155,0.2075,1.5156,1.4224,0.1143
42,0.468497,0.860125,0,2.1439,1.8772,1.4581,2.1058,0.6858,0.0381
42,0.317499,0.541283,0,0.9109,0.3718,0.0416,1.3808,0.8693,-0.4699
42,0.215336,0.843848,0,0.7093,0.0743,0.087,1.2554,0.6223,-0.5461
42,1.186139,0.399525,1,1.0458,0.1822,0.3092,1.3506,0.7366,-0.3048
42,0.380999,0.324994,1,1.0477,0.4,1.162,0.8954,-0.1143,0.1523
42,0.847997,0.348744,1,1.6691,0.5515,2.2279,2.8248,-0.5588,-1.1557
42,0.592819,2.133471,0,2.1831,1.8402,1.3068,0.7353,0.8763,1.4478
42,0.312201,0.664517,0,1.1769,0.7832,0.2371,1.6595,0.9398,-0.4826
42,0.511326,1.052369,0,1.4465,1.0147,0.2019,1.4338,1.2446,0.0127
42,0.771473,1.196492,0,5.2792,4.4664,7.3366,6.4095,-2.0574,-1.1303
42,0.700288,1.085458,0,0.8928,0.1181,1.7691,1.8961,-0.8763,-1.0033
42,0.243968,1.623749,0,0.2907,1.1543,0.3669,0.357,-0.0762,-0.0663
42,0.624437,1.113829,0,0.1002,0.0649,0.3415,0.3951,-0.2413,-0.2949
42,0.849562,0.388295,1,0.6498,0.2011,1.5896,1.7928,-0.9398,-1.143
42,0.334564,0.163927,1,1.3837,1.0027,0.5709,1.8028,0.8128,-0.4191
42,0.33153,1.209546,0,0.1097,0.5415,0.7574,0.2967,-0.6477,-0.187
42,0.942426,0.886297,1,0.4726,1.8896,1.5013,3.2285,-1.0287,-2.7559
42,0.230393,2.377421,0,0.3891,1.1384,0.8463,0.1605,-0.4572,0.2286
42,0.648589,0.790449,0,1.2898,0.8834,0.7818,2.1026,0.508,-0.8128
42,0.57176,1.373669,0,0.4077,0.268,0.3696,0.903,0.0381,-0.4953
42,0.760089,0.334638,1,2.3394,1.6663,1.2472,2.6823,1.0922,-0.3429
42,0.415364,2.117703,0,0.7589,1.4574,1.559,0.4414,-0.8001,0.3175
42,0.392805,1.985582,0,0.21,0.972,0.2608,0.5139,-0.0508,-0.3039
42,0.239848,0.903877,0,1.4132,2.0736,2.5816,2.3403,-1.1684,-0.9271
42,0.457768,0.568529,0,2.228,1.7581,2.5201,0.9453,-0.2921,1.2827
42,0.456029,2.709831,0,0.2451,0.7531,0.7785,0.1054,-0.5334,0.1397
42,0.414371,0.495766,0,1.107,0.4974,0.6456,0.5736,0.4614,0.5334
42,0.69498,0.477747,1,0.2233,0.8329,0.7927,1.0594,-0.5694,-0.8361
42,0.689964,1.464991,0,0.3579,0.4976,0.0104,1.0264,0.3475,-0.6685
42,0.33522,1.71602,0,1.6726,0.1613,1.698,2.2568,-0.0254,-0.5842
42,0.874606,0.439782,1,2.1964,0.647,0.4198,1.0915,1.7766,1.1049
42,0.987357,0.411869,1,2.5658,1.8038,2.8325,3.0357,-0.2667,-0.4699
42,1.432193,0.64816,1,1.2948,0.0768,2.1457,0.9392,-0.8509,0.3556
42,0.462925,1.02371,0,1.8342,1.9104,1.758,1.3516,0.0762,0.4826
42,0.428288,0.43366,0,0.2126,0.2126,0.6891,2.0861,-0.4765,-1.8735
42,0.754585,0.562025,1,0.8466,0.0211,0.1186,0.5037,0.728,0.3429
42,0.61694,0.758754,0,0.3491,1.2508,1.5556,1.9366,-1.2065,-1.5875
42,0.608951,1.424667,0,0.9592,0.4512,1.4291,2.7626,-0.4699,-1.8034
42,0.343324,1.925981,0,0.9839,0.1584,0.4632,1.1998,0.5207,-0.2159
42,1.033039,0.606816,1,0.0058,0.4884,0.4641,0.68,-0.4583,-0.6742
42,0.32692,0.393333,0,2.6362,0.655,2.7378,2.1536,-0.1016,0.4826
42,1.022222,0.832197,1,1.2584,2.2109,2.0712,1.995,-0.8128,-0.7366
42,0.703482,0.415984,1,1.3994,1.2851,0.5437,1.6153,0.8557,-0.2159
42,1.030002,0.758224,1,0.4135,1.4915,0.5517,0.2088,-0.1382,0.2047
42,0.705546,0.435413,1,1.0164,0.152,0.4576,1.3085,0.5588,-0.2921
42,1.504307,0.458355,1,0.3581,2.5044,1.9456,0.5359,-1.5875,-0.1778
42,1.233746,0.528786,1,1.7333,1.0602,3.3462,1.5047,-1.6129,0.2286
42,1.748997,0.602571,1,0.9085,3.8549,2.9532,1.48,-2.0447,-0.5715
42,0.364038,0.892723,0,1.7692,1.7946,0.1182,2.0994,1.651,-0.3302
42,0.803047,0.285618,1,2.2192,2.1049,2.4097,2.4986,-0.1905,-0.2794
42,0.854536,0.231323,1,1.8135,1.6611,1.3817,1.6865,0.4318,0.127
42,0.755803,0.501908,1,1.5663,2.4934,3.1792,1.7949,-1.6129,-0.2286
42,0.442364,1.552987,0,0.5358,1.2851,1.5518,0.6882,-1.016,-0.1524
42,0.515906,0.788271,0,2.7768,1.964,1.6465,3.996,1.1303,-1.2192
42,0.729419,3.522965,0,0.6113,0.6875,0.9669,0.1541,-0.3556,0.4572
42,1.142332,0.910814,1,1.0778,1.9287,2.8177,1.3699,-1.7399,-0.2921
42,0.679226,1.012985,0,0.2603,0.3874,1.2129,1.3399,-0.9526,-1.0796
42,1.901909,0.307025,1,1.37,0.989,3.0972,1.9796,-1.7272,-0.6096
42,0.438946,1.550097,0,0.5223,0.5477,0.1762,0.7001,0.3461,-0.1778
42,0.732667,0.559329,1,0.5006,0.1471,0.5789,0.0561,-0.0783,0.4445
42,0.985546,0.640434,1,1.3768,0.0306,0.1195,1.7832,1.2573,-0.4064
42,1.125828,1.874777,0,2.7982,1.9854,1.9854,2.9506,0.8128,-0.1524
42,0.604802,0.658663,0,1.0194,0.613,1.0956,1.0956,-0.0762,-0.0762
42,0.542172,1.956634,0,0.6985,1.0541,0.8636,1.2192,-0.1651,-0.5207
42,0.465459,0.287788,1,0.9204,0.4505,0.2346,1.3649,0.6858,-0.4445
42,0.852712,1.013923,0,3.1458,2.3076,2.8029,3.1585,0.3429,-0.0127
42,0.312421,2.681094,0,0.6989,1.9181,0.9402,0.5457,-0.2413,0.1532
42,0.232204,1.486897,0,0.8156,0.2949,0.5235,0.9553,0.2921,-0.1397
42,1.359418,0.733454,1,0.4675,1.3359,1.5772,0.0532,-1.1097,0.4143
42,0.517369,1.22593,0,3.3208,2.7493,3.2319,3.2192,0.0889,0.1016
42,0.429851,0.623679,0,0.9182,1.7437,0.6769,1.6421,0.2413,-0.7239
42,0.348313,0.683682,0,1.3723,1.0548,1.1183,2.0835,0.254,-0.7112
42,0.412222,0.524635,0,0.6492,1.2588,2.0335,2.2875,-1.3843,-1.6383
42,1.344732,0.375413,1,3.4137,1.4758,3.5534,3.3121,-0.1397,0.1016
42,1.479346,0.478669,1,0.8391,2.7568,0.9661,0.5597,-0.127,0.2794
42,0.230921,0.582068,0,2.087,1.071,0.817,2.5696,1.27,-0.4826
42,0.424927,0.545847,0,0.6034,1.4921,0.4764,0.8701,0.127,-0.2667
42,0.194606,1.319396,0,0.9869,0.2122,1.1393,1.1393,-0.1524,-0.1524
42,0.430344,0.855894,0,2.0125,1.5172,2.0887,1.9109,-0.0762,0.1016
42,0.613555,0.748156,0,1.5116,0.8512,1.2195,1.7021,0.2921,-0.1905
42,0.453797,1.039612,0,0.5953,0.5445,2.4876,1.6621,-1.8923,-1.0668
42,0.378673,0.710606,0,0.3956,0.294,0.4591,0.421,-0.0635,-0.0254
42,0.432881,0.652285,0,0.176,0.9416,1.856,2.1862,-1.68,-2.0102
42,1.154524,0.626306,1,1.2244,3.1675,4.3359,2.6468,-3.1115,-1.4224
42,0.860722,0.861056,0,5.1309,2.5401,5.7278,4.1149,-0.5969,1.016
42,1.67363,0.520647,1,1.1882,0.8072,0.9454,1.5946,0.2428,-0.4064
42,0.824371,0.588718,1,0.8009,0.1659,0.304,0.9406,0.4969,-0.1397
42,0.959992,0.774168,1,1.3176,2.0161,3.1464,0.1111,-1.8288,1.2065
42,0.57783,0.711108,0,1.2996,0.6773,1.1091,1.5282,0.1905,-0.2286
42,0.439985,1.642977,0,1.3409,0.4011,0.6932,1.8616,0.6477,-0.5207
42,0.690594,0.746776,0,0.5302,0.3842,0.1492,2.213,0.381,-1.6828
42,1.023572,0.697506,1,0.4089,0.6883,1.8694,1.0185,-1.4605,-0.6096
42,0.617478,1.081375,0,0.8854,0.1996,0.0599,1.0759,0.8255,-0.1905
42,0.698379,1.363893,0,0.1698,1.4652,0.8429,0.3255,-0.6731,-0.1557
42,0.608739,2.058408,0,0.9624,2.8547,0.7719,0.9299,0.1905,0.0325
42,0.348784,1.633215,0,0.07,0.9844,0.9336,0.1205,-0.8636,-0.0505
42,0.659983,0.509062,1,3.3833,0.1575,3.5103,3.8532,-0.127,-0.4699
42,0.662574,2.189333,0,2.0904,2.192,1.4554,1.9126,0.635,0.1778
42,0.51335,0.938754,0,2.0424,2.5631,3.8458,3.7315,-1.8034,-1.6891
42,0.574177,1.293598,0,0.2043,0.3545,0.6488,0.979,-0.4445,-0.7747
42,2.393093,0.663172,1,10.443,5.3376,14.0371,13.0084,-3.5941,-2.5654
42,0.11971,2.626227,0,1.2478,1.8574,1.9971,0.8668,-0.7493,0.381
42,0.593643,0.709039,0,1.3048,1.8128,2.7145,2.9558,-1.4097,-1.651
42,0.252351,0.580864,0,1.9773,1.1137,1.2915,1.8249,0.6858,0.1524
42,0.574865,1.37724,0,0.8999,1.6873,1.5984,2.1826,-0.6985,-1.2827
42,1.066235,1.084322,0,2.1675,3.1962,1.8246,0.707,0.3429,1.4605
42,0.685831,1.046969,0,1.1975,0.5117,0.4154,0.7022,0.7821,0.4953
42,0.567082,1.303914,0,0.585,0.0119,1.5756,1.8042,-0.9906,-1.2192
42,0.326949,1.472748,0,0.6166,0.3626,1.1627,1.2389,-0.5461,-0.6223
42,0.428166,1.522842,0,0.0337,1.5577,0.3131,0.3346,-0.2794,-0.3009
42,0.385235,1.160419,0,1.0601,0.0448,0.3616,1.7078,0.6985,-0.6477
42,0.364949,1.29824,0,1.8544,1.9814,3.1498,2.3878,-1.2954,-0.5334
42,0.265483,0.084267,1,0.3532,0.5104,0.4929,1.8518,-0.1397,-1.4986
42,0.280773,0.692715,0,0.0141,0.3161,0.2272,0.4205,-0.2131,-0.4064
42,0.428836,1.449314,0,0.2903,0.6241,0.8273,0.1125,-0.537,0.1778
42,0.37212,1.661068,0,0.3394,0.4607,0.187,1.1649,0.1524,-0.8255
42,0.748225,1.018842,0,2.7291,1.802,3.0212,2.4878,-0.2921,0.2413
42,0.839135,1.704952,0,1.7441,4.1317,2.3537,2.0235,-0.6096,-0.2794
42,0.478199,0.934516,0,0.2491,1.0844,0.4523,2.2938,-0.2032,-2.0447
42,0.205722,0.732332,0,1.9917,1.1281,1.3821,1.979,0.6096,0.0127
42,0.223391,1.563718,0,1.0823,0.1425,0.6632,1.6157,0.4191,-0.5334
42,0.569461,2.454892,0,0.1468,1.0612,0.8199,0.0452,-0.6731,0.1016
42,0.317479,1.191397,0,0.8645,0.547,1.0169,0.9153,-0.1524,-0.0508
42,0.581015,1.414365,0,1.444,0.8852,0.8725,1.2281,0.5715,0.2159
42,0.531959,0.765985,0,0.0776,0.1637,0.5193,0.5475,-0.4417,-0.4699
42,0.570461,1.192508,0,2.2272,1.7827,2.5701,2.3415,-0.3429,-0.1143
42,0.472829,1.231125,0,0.1234,0.3211,0.3647,0.3393,-0.2413,-0.2159
42,0.298288,0.621457,0,0.3952,0.57,0.0269,1.3701,0.3683,-0.9749
42,0.846705,0.659798,1,0.1093,2.3799,2.1259,1.2623,-2.0166,-1.153
42,0.499806,0.752382,0,1.7488,0.3391,1.7564,0.842,-0.0076,0.9068
42,0.626706,1.004319,0,0.0692,0.0438,1.9755,2.2041,-1.9063,-2.1349
42,0.593467,2.303217,0,2.4045,1.6552,1.7568,3.0522,0.6477,-0.6477
42,0.47106,0.829185,0,0.9799,0.7259,1.5514,2.0848,-0.5715,-1.1049
42,0.647171,0.514331,1,0.4038,0.028,0.536,0.8737,-0.1322,-0.4699
42,0.377911,0.734766,0,0.1718,0.4639,0.7687,0.0822,-0.5969,0.0896
42,0.649494,0.366532,1,1.6913,2.0469,0.7134,1.0944,0.9779,0.5969
42,0.882445,0.757699,1,0.1473,2.4816,1.4046,3.2842,-1.2573,-3.1369
42,0.644331,1.137888,0,0.8036,1.2735,3.8516,2.3022,-3.048,-1.4986
42,0.454715,0.544411,0,0.5472,0.9282,1.6775,0.1535,-1.1303,0.3937
42,0.348859,2.291473,0,1.6615,0.328,0.5312,2.3473,1.1303,-0.6858
42,0.718378,2.134824,0,0.6823,0.8474,0.441,1.2157,0.2413,-0.5334
42,0.586999,1.160447,0,0.1697,0.411,0.2459,1.3797,-0.0762,-1.21
42,0.364093,1.192881,0,0.7946,0.6803,0.1706,1.1866,0.624,-0.392
42,0.631539,0.898746,0,0.2045,0.1384,0.4585,0.8395,-0.254,-0.635
42,0.870146,0.42808,1,0.3869,0.9584,0.679,1.0219,-0.2921,-0.635
42,0.742275,0.4193,1,1.7633,0.6965,1.014,2.2332,0.7493,-0.4699
42,0.266511,0.956469,0,1.9186,1.1439,0.674,1.8551,1.2446,0.0635
42,0.671317,1.272609,0,3.241,3.5458,3.2156,3.7109,0.0254,-0.4699
42,0.296075,1.666683,0,0.1609,0.055,0.834,1.8119,-0.6731,-1.651
42,0.403371,1.95591,0,0.0316,1.1492,0.0954,1.6064,-0.0638,-1.5748
42,0.639756,0.718028,0,0.0631,1.7276,0.4576,0.2925,-0.3945,-0.2294
42,0.47413,0.839949,0,1.343,0.6572,1.2795,0.9112,0.0635,0.4318
42,0.566823,0.981121,0,0.9366,0.6064,1.2795,1.2287,-0.3429,-0.2921
42,0.246141,2.35551,0,1.2113,1.2875,1.5669,0.7541,-0.3556,0.4572
42,0.257847,1.589601,0,0.136,1.8833,0.4662,2.0029,-0.3302,-1.8669
42,0.713763,0.699524,1,0.594,0.6448,0.5432,0.4924,0.0508,0.1016
42,0.417194,1.151849,0,1.2504,0.4249,0.9329,1.0218,0.3175,0.2286
42,0.445638,0.995867,0,1.0981,0.2853,0.5393,1.2378,0.5588,-0.1397
42,0.374809,0.979172,0,0.1988,0.0591,0.1441,0.4274,0.0547,-0.2286
42,0.406881,0.698976,0,1.7544,1.6274,0.8146,1.6147,0.9398,0.1397
42,0.829398,2.414061,0,0.3545,0.8371,0.1027,0.2424,0.2518,0.1121
42,0.922532,0.648352,1,1.425,1.0821,2.0473,1.806,-0.6223,-0.381
42,0.474258,1.595201,0,0.4871,0.3093,0.1315,0.6268,0.3556,-0.1397
42,0.54698,0.791633,0,1.1568,0.2932,0.5853,0.8393,0.5715,0.3175
42,0.387813,2.020736,0,0.3848,1.096,0.9309,0.5626,-0.5461,-0.1778
42,0.635202,1.894184,0,1.2029,0.0472,0.5044,1.1775,0.6985,0.0254
42,0.889417,0.230915,1,1.096,1.4008,0.7785,1.1595,0.3175,-0.0635
42,0.74589,1.381873,0,1.5286,0.1189,0.7701,1.9639,0.7585,-0.4353
42,0.57011,1.843914,0,0.6282,0.0313,0.0957,0.1202,0.5325,0.508
42,0.578107,0.70025,0,0.6304,2.1001,0.0081,0.5669,0.6223,0.0635
42,0.347121,0.764678,0,0.5762,1.7319,1.7319,0.8683,-1.1557,-0.2921
42,1.366935,0.441966,1,0.9107,0.7911,2.1045,0.1614,-1.1938,0.7493
42,0.683221,0.571024,1,3.5372,1.7719,2.0513,1.4798,1.4859,2.0574
42,1.13893,0.64676,1,2.0632,0.0693,1.7965,3.2062,0.2667,-1.143
42,0.23321,1.261197,0,0.0243,0.291,0.5091,0.6234,-0.4848,-0.5991
42,0.365193,1.062275,0,0.5204,0.0886,0.013,1.3205,0.5074,-0.8001
42,0.679069,0.552653,1,1.993,1.6247,1.612,2.6661,0.381,-0.6731
42,0.327533,0.415527,0,0.654,1.6446,0.8064,0.4889,-0.1524,0.1651
42,0.572692,2.105271,0,0.2223,0.8954,1.0859,0.1588,-0.8636,0.0635
42,0.978107,1.194701,0,1.5279,0.7532,1.2104,0.3214,0.3175,1.2065
42,0.739794,0.579142,1,0.3054,0.6725,1.3976,0.4705,-1.0922,-0.1651
42,0.951589,0.416609,1,0.4373,0.2993,1.0613,0.566,-0.624,-0.1287
42,0.752077,0.541909,1,1.9198,0.7641,0.1164,1.3864,1.8034,0.5334
42,0.409308,0.835217,0,2.275,1.4622,1.7797,2.3512,0.4953,-0.0762
42,0.724077,2.635311,0,0.0945,1.0358,0.2611,0.7437,-0.1666,-0.6492
42,0.510018,0.957262,0,1.6821,1.4789,1.0725,2.279,0.6096,-0.5969
42,0.583456,0.638449,0,0.3318,0.2937,0.1889,0.1508,0.1429,0.181
42,0.424718,1.441653,0,1.0517,2.182,1.5851,1.8645,-0.5334,-0.8128
42,0.388344,0.922307,0,0.765,0.8539,1.6032,1.8826,-0.8382,-1.1176
42,0.441793,2.111388,0,0.2891,1.0384,0.7463,0.0605,-0.4572,0.2286
42,0.503473,1.475722,0,1.188,2.5723,0.299,0.0069,0.889,1.1811
42,0.460554,0.420351,1,1.5139,0.8408,0.5487,1.679,0.9652,-0.1651
42,1.104577,0.794373,1,6.0954,1.4091,7.1114,8.0385,-1.016,-1.9431
42,0.427,0.975785,0,0.4719,0.4719,1.1196,0.7513,-0.6477,-0.2794
42,0.193279,1.503867,0,1.8726,0.8439,1.5805,2.2536,0.2921,-0.381
42,0.811674,0.828304,0,2.2961,3.1089,2.385,4.5821,-0.0889,-2.286
42,1.07308,0.403811,1,1.8069,0.2829,0.3718,1.464,1.4351,0.3429
42,0.489015,0.577143,0,1.4156,0.7425,0.4631,1.949,0.9525,-0.5334
42,0.56766,0.820788,0,1.2834,0.877,0.0261,1.4739,1.2573,-0.1905
42,0.445437,1.195752,0,0.1266,0.8132,0.5076,0.5203,-0.381,-0.3937
42,1.312416,0.567081,1,2.3322,0.8336,0.5923,2.9164,1.7399,-0.5842
42,0.554686,1.871769,0,1.8188,2.7459,2.6443,2.3776,-0.8255,-0.5588
42,0.471639,0.927874,0,1.9386,1.1512,0.5416,1.4179,1.397,0.5207
42,0.46931,0.12281,1,0.7067,1.0623,0.7321,0.2114,-0.0254,0.4953
42,0.891447,0.522369,1,0.0216,0.047,0.9741,1.825,-0.9525,-1.8034
42,0.657724,0.532843,1,0.8586,0.7697,1.0999,1.2142,-0.2413,-0.3556
42,0.445696,0.843396,0,0.9408,0.3185,1.2583,1.3091,-0.3175,-0.3683
42,0.781786,0.438119,1,2.6573,1.2222,1.5778,0.5364,1.0795,2.1209
42,1.269468,0.353542,1,1.3329,1.6377,2.1711,2.0187,-0.8382,-0.6858
42,1.766103,0.490672,1,0.5014,0.3368,1.9243,1.0348,-1.4229,-0.5334
42,0.660743,0.892247,0,0.7898,0.5437,0.658,0.9676,0.1318,-0.1778
42,0.428143,1.325113,0,0.5647,0.0186,0.1837,0.4631,0.381,0.1016
42,0.342216,1.113247,0,0.0408,1.2546,1.0641,1.2292,-1.0233,-1.1884
42,0.360547,1.205322,0,0.3807,0.2664,0.1775,0.622,0.2032,-0.2413
42,0.637572,0.612539,1,0.5609,0.8149,0.6837,0.1291,-0.1228,0.4318
42,0.55387,1.064434,0,2.0799,1.1782,1.5719,2.5879,0.508,-0.508
42,0.379983,0.424128,0,1.7365,1.9905,2.435,0.9491,-0.6985,0.7874
42,0.456659,0.843561,0,0.8595,1.1516,1.5072,1.5453,-0.6477,-0.6858
42,0.842172,0.67916,1,1.6342,0.1991,1.5961,3.0693,0.0381,-1.4351
42,1.053748,2.651078,0,1.8905,0.7892,1.0904,3.9606,0.8001,-2.0701
42,0.599094,1.69809,0,0.3356,0.0562,0.7185,0.6042,-0.3829,-0.2686
42,0.844879,0.546174,1,1.7745,1.1014,1.2919,1.1141,0.4826,0.6604
42,0.388012,0.931644,0,0.2351,0.7431,0.2351,0.1205,0.0,0.1146
42,0.939194,0.378191,1,0.4986,0.6129,1.3114,2.4544,-0.8128,-1.9558
42,0.465179,0.700802,0,0.7472,3.1602,2.1061,1.5346,-1.3589,-0.7874
42,0.668891,1.763309,0,2.7614,1.6819,2.2915,3.0662,0.4699,-0.3048
42,0.379057,2.099777,0,1.5042,0.8692,1.0089,0.6406,0.4953,0.8636
42,1.096766,0.571025,1,1.6916,1.2471,1.2725,0.066,0.4191,1.6256
42,0.405791,1.818226,0,2.1123,1.9472,1.7186,1.2868,0.3937,0.8255
42,0.484118,0.695667,0,0.5023,0.4007,0.7944,1.7977,-0.2921,-1.2954
42,1.5289,0.361847,1,1.1073,0.6501,0.0278,2.1614,1.0795,-1.0541
42,0.560887,1.072933,0,0.7753,0.0629,0.3562,0.6102,0.4191,0.1651
42,1.455153,0.409143,1,2.8576,2.7306,5.0801,2.121,-2.2225,0.7366
42,0.631681,0.875854,0,0.2489,0.1448,0.2108,0.5893,0.0381,-0.3404
42,0.776213,1.947622,0,2.3422,1.0468,1.8723,1.3389,0.4699,1.0033
42,0.683372,0.721544,0,3.5757,2.4581,1.531,3.4995,2.0447,0.0762
42,0.661674,2.61679,0,0.0946,0.9468,0.4261,0.1962,-0.3315,-0.1016
42,0.440765,1.509396,0,0.9553,0.3965,0.5616,1.3236,0.3937,-0.3683
42,0.280779,0.842527,0,0.6803,0.7311,0.4009,1.3407,0.2794,-0.6604
42,0.993694,0.428811,1,1.2571,1.2698,2.1969,1.3841,-0.9398,-0.127
42,0.49695,0.748892,0,0.9909,1.4735,1.1687,1.1052,-0.1778,-0.1143
42,0.552928,2.132789,0,1.7799,1.1957,1.4497,1.1322,0.3302,0.6477
42,0.428564,1.898909,0,1.7947,1.6296,1.7566,1.3121,0.0381,0.4826
42,0.443403,1.508259,0,1.5677,1.7709,0.5517,1.0851,1.016,0.4826
42,0.73119,0.829828,0,0.2368,0.0045,0.313,0.6268,-0.0762,-0.39
42,0.470304,0.654619,0,1.4105,0.712,1.0295,1.9312,0.381,-0.5207
42,0.64959,0.983651,0,0.6057,0.5119,0.2325,1.3677,0.3732,-0.762
